	TCGA-AX-A1CI	TCGA-BK-A0CB	TCGA-AX-A1CF	TCGA-BK-A13C	TCGA-AX-A1CK
Ayers2017__TumorInflammationSignature	1.8749626897071765	1.8889778853427959	1.9441468510029827	2.797978124608706	3.4914045824682187
Marincola2008__ImmuneConstantOfRejection	0.19239544525226837	0.5727672577720396	0.3767494262233021	0.5229127005591286	0.9398945983703063
Rodriguez2017__IFNG_Sensitivity	6.958289260605764	7.844479128219488	7.263324813661374	8.707212111618292	9.01288199336284
ImmuneEvasion	1.1491041904192139	0.9933680597424077	1.1551928318848976	1.6551968836831317	1.8903729192200536
AdenosineEscapeSignature	0.7560711908304117	1.6839730917178857	0.6852309333654402	1.8052527132024359	0.6462225417556399
IDO12	0.2129273590266817	0.32176484673167116	0.29290219063436307	0.2829462376359962	0.5405735353741193
MDSC_ALL	1.7033043349579824	2.539915668108802	2.1864455258950657	3.5689939007083047	3.5655243796576044
M-MDSC	1.6314109382056865	2.7537471374235922	2.323622856791346	3.9456234362779052	3.8706174747142934
G-MDSC	1.4588343650693572	1.9991477140928415	1.9221950596772106	2.5705975799573424	3.4127330644691347
F-MDSC	2.476815452737265	2.563210406727269	2.5742038401268847	3.9894424030778137	4.163880035101953
stromal signature	2.411484726631085	11.543697563553925	2.5230134960072528	15.752267631333828	2.403844918885419
immune signature	5.3063560718617175	9.22588253665318	6.790080135867987	13.061259867811863	12.921994889210572
Responder	0.6563225033506481	0.709902897243074	0.7447388950358548	0.683502964993715	0.9010887505153743
Non-responder_FigS2G	4.84188941217401	4.460597117685356	5.14924175900618	5.531082802982933	5.336451837428555
Non-responder_FigS2E	80.08832844090058	75.82241045736941	86.58958722115209	87.16661625890669	97.40395983307944
Responder_CD8_G	3.559185698849655	5.071402314781934	3.7072395205800572	4.5468335618494615	3.68162332906315
Non-responder_CD8_B	379.9169088054027	354.4129876233687	380.84934401625884	354.03947155374544	365.0619520152169
Non-responder_Fig2B	0.9251021058987967	0.7986544480661187	1.136928078078033	1.136894324774754	1.4709285776783223
Responder_Fig2B	1.7652825027003458	3.2397803705062214	2.2771684646737698	2.4982981100350226	1.9908916587354586
