	TCGA-AX-A1CI	TCGA-BK-A0CB	TCGA-AX-A1CF	TCGA-BK-A13C	TCGA-AX-A1CK
SLC2A6	0.307	1.173	0.423	1.185	1.038
TCHHL1	0	0.017	0	0	0
CD1B	0	0.087	0.161	0.099	0.27
PHOSPHO1	0.244	0.247	0.259	0.415	0.231
PIKFYVE	7.442	10.969	5.52	10.809	6.901
FGGY	10.75	2.808	11.258	2.866	5.497
CLVS1	1.697	1.585	1.291	1.817	1.772
CNTNAP2	1.517	0.027	0.274	0.057	0.011
SLC38A6	3.003	1.921	2.57	1.344	2.921
SARDH	1.673	1.372	1.331	1.203	0.451
CENPM	7.374	0.808	5.593	0.222	12.239
RAB25	57.214	0.056	71.379	0.096	69.896
PLSCR4	22.182	23.973	15.929	17.383	13.324
HS3ST3B1	1.141	0.241	1.143	0.328	0.507
ATP6V1F	75.92	43.925	83.716	44.501	81.631
SHROOM2	3.279	0.897	2.666	1.542	2.972
NAV1	1.987	4.892	2.291	8.818	1.958
TEAD1	14.475	17.473	9.298	12.115	11.335
ZNF789	2.259	1.542	2.987	1.469	2.45
MBOAT4	1.101	0.074	0.452	0.021	0.086
LCE5A	0	0	0	0	0
ARHGAP11A	0.47	0.477	0.428	0.216	0.869
PPARD	11.481	13.835	13.776	10.115	11.794
FDFT1	46.693	31.251	47.215	32.278	55.25
KRTAP5-7	0	0	0.114	0	0.032
C1orf162	3.872	4.269	9.283	9.118	12.071
ACYP2	5.433	2.471	6.707	5.24	7.004
FZD2	4.388	3.086	5.238	3.678	4.849
SCGB3A2	0	0	0	0	0
XIST	10.002	12.805	7.732	4.463	10.685
CD320	21.579	22.486	26.982	34.84	14.627
UGT3A2	0.332	0	0.031	0	0
YIPF5	10.131	9.082	7.327	10.978	9.158
ADD3	25.718	6.148	19.999	10.568	20.947
LOC100130581	2.422	1.104	2.121	0.535	1.539
GRAMD1A	28.78	23.308	43.604	15.615	31.862
IFI27L2	9.642	18.267	22.585	9.046	22.15
ELTD1	1.455	8.826	0.821	16.18	1.02
RASSF6	1.204	0.036	0.695	0.008	1.198
SIPA1	6.143	10.835	11.711	10.001	10.582
FNBP1L	14.733	7.33	13.059	9.891	14.34
UTRN	16.539	13.472	12.934	20.975	10.139
DYSFIP1	0	0.191	0.122	0.031	0.051
CLK4	6.348	5.595	7.704	5.576	12.237
CHMP1A	38.229	30.74	48.225	29.132	37.923
ATP5G1	51.954	26.066	66.052	36.626	50.219
CRY1	8.561	4.543	4.792	5.624	5.587
LOC493754	11.385	11.57	12.304	8.545	9.837
TMEM164	20.514	8.279	21.788	10.735	21.645
